"The recipe","Source file count","Source file changed count","Cumulative scanning time","99th percentile scanning time","Max scanning time","Cumulative edit time","99th percentile edit time","Max edit time"
"The recipe whose stats are being measured both individually and cumulatively.","The number of source files the recipe ran over.","The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.","The total time spent across the scanning phase of this recipe.","99 out of 100 scans completed in this amount of time.","The max time scanning any one source file.","The total time spent across the editing phase of this recipe.","99 out of 100 edits completed in this amount of time.","The max time editing any one source file."
"org.openrewrite.config.CompositeRecipe","366","278","0","0.0","0","61475","0.99","11862"
"org.openrewrite.java.migrate.net.MigrateMulticastSocketGetTTLToGetTimeToLive","366","278","0","0.0","0","32492","0.99","1022"
"org.openrewrite.java.migrate.UpgradeToJava6","366","278","0","0.0","0","23655","0.99","1052"
"org.openrewrite.java.migrate.UpgradeToJava7","366","278","0","0.0","0","27812","0.99","922"
"org.openrewrite.java.migrate.UpgradeToJava17","366","278","0","0.0","0","24512","0.99","701"
"org.openrewrite.java.migrate.jakarta.JavaxMigrationToJakarta","366","278","0","0.0","0","24156","0.99","311"
"org.openrewrite.java.migrate.UpgradeToJava8","366","278","0","0.0","0","132101","0.99","107203"
"org.openrewrite.java.migrate.javax.HttpSessionInvalidate","366","278","0","0.0","0","11523704","0.99","2318571"
"org.openrewrite.maven.ChangeManagedDependencyGroupIdAndArtifactId","3660","278","0","0.0","0","24515491","0.99","9622489"
"org.openrewrite.java.migrate.sql.MigrateDriverManagerSetLogStream","366","278","0","0.0","0","444584","0.99","29205"
"org.openrewrite.java.migrate.UpgradeToJava21","366","278","0","0.0","0","42900","0.99","1082"
"org.openrewrite.java.migrate.javax.MigrateAbstractTypeVisitor6To9","366","278","0","0.0","0","58564","0.99","781"
"org.openrewrite.config.DeclarativeRecipe$PreconditionBellwether","2562","278","0","0.0","0","98407704","0.99","10755553"
"com.oracle.weblogic.rewrite.jakarta.RemovedJakartaFaces3ExpressionLanguageClasses","366","278","0","0.0","0","32054","0.99","762"
"org.openrewrite.java.migrate.jakarta.JavaxAuthorizationMigrationToJakartaAuthorization","366","278","0","0.0","0","36291","0.99","581"
"org.openrewrite.java.migrate.JREJdbcInterfaceNewMethods","366","278","0","0.0","0","83659","0.99","1042"
"org.openrewrite.java.dependencies.ChangeDependency","19032","278","0","0.0","0","1068703016","0.99","499083585"
"org.openrewrite.java.migrate.javax.MigrateXMLEventFactoryNewInstanceToNewFactory","366","278","0","0.0","0","24202","0.99","771"
"org.openrewrite.java.migrate.RemoveIllegalSemicolons","366","278","0","0.0","0","73788604","0.99","9317893"
"org.openrewrite.java.migrate.jakarta.JavaxTransactionMigrationToJakartaTransaction","366","278","0","0.0","0","36170","0.99","571"
"org.openrewrite.java.migrate.lombok.LombokValToFinalVar","366","278","0","0.0","0","20652707","0.99","5190378"
"com.oracle.weblogic.rewrite.jakarta.JavaxWebXmlToJakartaWebXml5","366","278","0","0.0","0","32408","0.99","571"
"org.openrewrite.java.migrate.ReplaceComSunAWTUtilitiesMethods","366","278","0","0.0","0","82401371","0.99","9991888"
"com.oracle.weblogic.rewrite.jakarta.JavaxEjbJarXmlToJakarta9EjbJarXml","366","278","0","0.0","0","23061","0.99","712"
"org.openrewrite.java.migrate.javax.MigrateAbstractAnnotationValueVisitor6To9","366","278","0","0.0","0","24060","0.99","962"
"org.openrewrite.java.migrate.jakarta.JavaxAnnotationMigrationToJakartaAnnotation","366","278","0","0.0","0","42856","0.99","771"
"org.openrewrite.java.migrate.util.ListFirstAndLast","366","278","0","0.0","0","23174584","0.99","8631773"
"org.openrewrite.java.ReplaceStringLiteralValue","366","278","0","0.0","0","59127076","0.99","8087413"
"org.openrewrite.java.migrate.UpdateSdkMan","1098","278","0","0.0","0","38690389","0.99","6848075"
"org.openrewrite.java.migrate.net.MigrateURLEncoderEncode","366","278","0","0.0","0","627354","0.99","61106"
"org.openrewrite.java.migrate.lang.MigrateCharacterIsSpaceToIsWhitespace","366","278","0","0.0","0","33070","0.99","942"
